motion_type,travel_time,d1,d2,d3,d4
pvt,1000,107,125,20,90
pvt,1000,107,224,20,90
pvt,1000,107,224,44,90
pvt,1000,107,125,44,90
pvt,500,107,125,44,90
pvt,1000,166.82,-166,44,0
pvt,4000,166.82,-166,600,0
pvt,4000,166.82,-166,20,0
pvt,500,166.82,-166,20,0
pvt,1000,107,125,20,90
pvt,1000,107,224,20,90
pvt,1000,107,224,44,90
pvt,1000,107,125,44,90
pvt,500,107,125,44,90
pvt,1000,166.82,-166,44,0
pvt,4000,166.82,-166,600,0
pvt,4000,166.82,-166,20,0
pvt,500,166.82,-166,20,0
pvt,1000,107,125,20,90
pvt,1000,107,224,20,90
pvt,1000,107,224,44,90
pvt,1000,107,125,44,90
pvt,500,107,125,44,90
pvt,1000,166.82,-166,44,0
pvt,4000,166.82,-166,600,0
pvt,4000,166.82,-166,20,0
pvt,500,166.82,-166,20,0
pvt,1000,107,125,20,90
pvt,1000,107,224,20,90
pvt,1000,107,224,44,90
pvt,1000,107,125,44,90
pvt,500,107,125,44,90
pvt,1000,166.82,-166,44,0
pvt,4000,166.82,-166,600,0
pvt,4000,166.82,-166,20,0
pvt,500,166.82,-166,20,0
pvt,1000,107,125,20,90
pvt,1000,107,224,20,90
pvt,1000,107,224,44,90
pvt,1000,107,125,44,90
pvt,500,107,125,44,90
pvt,1000,166.82,-166,44,0
pvt,4000,166.82,-166,600,0
pvt,4000,166.82,-166,20,0
pvt,500,166.82,-166,20,0
pvt,1000,107,125,20,90
pvt,1000,107,224,20,90
pvt,1000,107,224,44,90
pvt,1000,107,125,44,90
pvt,500,107,125,44,90
pvt,1000,166.82,-166,44,0
pvt,4000,166.82,-166,600,0
pvt,4000,166.82,-166,20,0
pvt,500,166.82,-166,20,0
pvt,1000,107,125,20,90
pvt,1000,107,224,20,90
pvt,1000,107,224,44,90
pvt,1000,107,125,44,90
pvt,500,107,125,44,90
pvt,1000,166.82,-166,44,0
pvt,4000,166.82,-166,600,0
pvt,4000,166.82,-166,20,0
pvt,500,166.82,-166,20,0
pvt,1000,107,125,20,90
pvt,1000,107,224,20,90
pvt,1000,107,224,44,90
pvt,1000,107,125,44,90
pvt,500,107,125,44,90
pvt,1000,166.82,-166,44,0
pvt,4000,166.82,-166,600,0
pvt,4000,166.82,-166,20,0
pvt,500,166.82,-166,20,0
pvt,1000,107,125,20,90
pvt,1000,107,224,20,90
pvt,1000,107,224,44,90
pvt,1000,107,125,44,90
pvt,500,107,125,44,90
pvt,1000,166.82,-166,44,0
pvt,4000,166.82,-166,600,0
pvt,4000,166.82,-166,20,0
pvt,500,166.82,-166,20,0
pvt,1000,107,125,20,90
pvt,1000,107,224,20,90
pvt,1000,107,224,44,90
pvt,1000,107,125,44,90
pvt,500,107,125,44,90
pvt,1000,166.82,-166,44,0
pvt,4000,166.82,-166,600,0
pvt,4000,166.82,-166,20,0
pvt,500,166.82,-166,20,0
pvt,1000,107,125,20,90
pvt,1000,107,224,20,90
pvt,1000,107,224,44,90
pvt,1000,107,125,44,90
pvt,500,107,125,44,90
pvt,1000,166.82,-166,44,0
pvt,4000,166.82,-166,600,0
pvt,4000,166.82,-166,20,0
pvt,500,166.82,-166,20,0
